"114年03月27日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","42,000","8,000","17,000","0","33,000","674,625,000","15,258,000","11,000","0","0","15,269,000","5,377,966"," ",
="0051","元大中型100","0","0","0","0","0","6,500,000","367,000","0","0","0","367,000","26,058"," ",
="0052","富邦科技","8,000","0","3,000","0","5,000","20,750,000","1,135,000","0","0","0","1,135,000","216,090"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","3,856"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,913,500","390,000","0","0","0","390,000","36,114"," ",
="0056","元大高股息","55,000","2,000","10,000","0","47,000","2,858,883,500","98,932,000","832,000","0","0","99,764,000","9,781,538"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,265","X ",
="0061","元大寶滬深","0","0","0","0","0","37,654,000","993,000","0","0","0","993,000","154,214"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","2,665","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,315"," ",
="006205","富邦上証","0","0","0","0","0","35,234,750","1,604,000","0","0","0","1,604,000","169,312"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,069,500","895,000","0","0","0","895,000","72,388"," ",
="006207","復華滬深","0","0","0","0","0","8,098,000","730,000","0","0","0","730,000","55,090"," ",
="006208","富邦台50","68,000","3,000","1,000","0","70,000","493,760,000","44,767,000","175,000","0","0","44,942,000","3,621,579"," ",
="00631L","元大台灣50正2","2,436,000","195,000","294,000","0","2,337,000","37,021,000","6,870,000","60,000","0","0","6,930,000","1,518,181"," ",
="00632R","元大台灣50反1","6,144,000","204,000","13,000","0","6,335,000","273,801,932","29,118,000","300,000","0","0","29,418,000","6,869,276"," ",
="00633L","富邦上証正2","1,214,000","37,000","431,000","0","820,000","71,989,500","15,082,000","0","20,000","0","15,062,000","2,548,520"," ",
="00634R","富邦上証反1","56,000","0","0","0","56,000","11,689,000","43,000","0","0","0","43,000","99,659"," ",
="00635U","期元大S&P黃金","79,000","0","0","0","79,000","12,503,500","553,000","0","0","0","553,000","373,307"," ",
="00636","國泰中國A50","21,000","0","0","0","21,000","49,456,250","3,238,000","0","0","0","3,238,000","637,289"," ",
="00637L","元大滬深300正2","7,077,000","458,000","293,000","0","7,242,000","522,276,500","95,188,000","600,000","1,012,000","0","94,776,000","23,890,866"," ",
="00638R","元大滬深300反1","25,000","0","8,000","0","17,000","9,237,000","849,000","0","20,000","0","829,000","225,022"," ",
="00639","富邦深100","16,000","0","1,000","0","15,000","52,100,750","3,915,000","0","0","0","3,915,000","569,673"," ",
="00640L","富邦日本正2","121,000","0","0","0","121,000","3,604,750","622,000","0","0","0","622,000","164,183"," ",
