date,外資買賣超,投信買賣超,自營商買賣超,三大法人買賣超
2025-03-10,-2394470,863272,946726,-584472
2025-03-11,-11034778,1602000,388722,-9044056
2025-03-12,-3062379,1826197,-138607,-1374789
2025-03-13,893030,670136,-64023,1499143
2025-03-14,-5541305,1478000,101410,-3961895
2025-03-17,-5562524,168068,101231,-5293225
2025-03-18,1806447,323717,-28121,2102043
2025-03-19,-10445260,611072,367464,-9466724
2025-03-20,2011092,-350928,65636,1725800
2025-03-21,-1255348,124309,-282741,-1413780
2025-03-24,-9155207,180521,-54511,-9029197
2025-03-25,-6086532,332070,977700,-4776762
2025-03-26,1876485,32000,516474,2424959
2025-03-27,-2844875,585773,864770,-1394332
2025-03-28,-7027374,183000,116772,-6727602
2025-03-31,-12503913,791000,928864,-10784049
2025-04-01,293888,-155000,588812,727700
2025-04-02,-1934905,-82904,294034,-1723775
2025-04-07,3571840,0,-446000,3125840
2025-04-08,13533098,-227233,1355138,14661003
2025-04-09,3850044,-2617075,1119753,2352722
2025-04-10,-1336803,0,-969,-1337772
2025-04-11,10570429,1406474,238338,12215241
2025-04-14,-4665322,6470544,-1036207,769015
2025-04-15,-6420241,1020711,-27666,-5427196
2025-04-16,555689,581366,93458,1230513
2025-04-17,-1575369,460767,91576,-1023026
2025-04-18,-1287369,903929,-433892,-817332
